Date,County Name,Partially Vaccinated,Fully Vaccinated,First Booster Dose,Second Booster Dose,Bivalent Booster 1
12/28/2020,Bradford,134,,,,
11/20/2022,Clinton,,,,,7
12/28/2020,Cameron,2,,,,
09/20/2021,Franklin,105,98,17,,
04/30/2021,Snyder,57,92,,,
05/21/2022,Wayne,3,5,6,10,
12/28/2020,Clinton,20,,,,
01/31/2022,Delaware,356,361,497,,
12/28/2020,Crawford,135,,,,
12/28/2020,Cumberland,309,,,,
10/17/2022,Adams,,1,,,197
10/21/2022,Wayne,,2,,,112
10/21/2021,Clinton,21,11,58,,
12/28/2020,Forest,6,,,,
12/28/2020,Franklin,59,,,,
12/28/2020,Fulton,5,,,,
12/28/2020,Greene,20,,,,
12/28/2020,Huntingdon,122,,,,
12/28/2020,Juniata,8,,,,
03/31/2021,Fayette,1845,446,,,
06/06/2021,Out-of-State,364,655,,,
11/10/2021,Bucks,1181,266,2256,,
12/28/2020,Lycoming,143,,,,
12/28/2020,Mckean,79,,,,
12/28/2020,Mercer,166,,,,
12/28/2020,Mifflin,44,,,,
12/27/2020,Philadelphia,562,,,,
02/08/2021,Somerset,284,146,,,
12/08/2021,Montgomery,1358,1060,3667,,
12/28/2020,Perry,30,,,,
06/03/2022,Lancaster,50,70,97,341,
12/28/2020,Pike,29,,,,
12/28/2020,Potter,30,,,,
12/28/2020,Schuylkill,273,,,,
12/07/2021,Lebanon,137,116,235,,
12/28/2020,Sullivan,4,,,,
12/28/2020,Susquehanna,79,,,,
12/28/2020,Tioga,167,,,,
06/22/2022,Lehigh,74,42,75,170,
12/28/2020,Warren,18,,,,
10/27/2021,Cambria,127,68,640,,
10/14/2021,Bucks,380,282,1129,,
12/28/2020,Wyoming,31,,,,
10/22/2022,Snyder,,,,,34
12/10/2021,Northumberland,79,64,411,,
12/29/2020,Adams,48,,,,
06/04/2021,Lawrence,60,120,,,
11/05/2022,Clarion,,3,,,18
12/29/2020,Bedford,18,,,,
01/16/2021,Adams,37,7,,,
01/26/2021,Montgomery,2425,1503,,,
12/29/2020,Bradford,120,,,,
08/26/2021,Elk,15,11,4,,
01/18/2021,Blair,220,437,,,
12/29/2020,Cameron,6,,,,
06/14/2022,Dauphin,25,31,46,134,
12/29/2020,Clarion,111,,,,
12/29/2020,Clearfield,139,,,,
12/29/2020,Clinton,19,,,,
12/29/2020,Crawford,98,,,,
07/25/2022,Montgomery,274,184,174,348,
05/04/2021,Jefferson,28,104,,,
12/29/2020,Elk,72,,,,
04/25/2021,Out-of-State,1892,837,,,
12/29/2020,Forest,6,,,,
03/03/2021,Allegheny,6691,4319,,,
12/29/2020,Fulton,3,,,,
12/29/2020,Greene,35,,,,
12/29/2020,Huntingdon,25,,,,
05/11/2021,Indiana,59,129,,,
12/29/2020,Jefferson,21,,,,
12/29/2020,Juniata,17,,,,
12/29/2020,Lackawanna,672,,,,
03/23/2021,Centre,347,730,,,
01/26/2021,Lycoming,371,245,,,
05/14/2021,Warren,74,72,,,
08/07/2022,Chester,33,27,21,39,
02/24/2021,Fayette,401,275,,,
04/13/2022,Delaware,127,155,192,635,
12/29/2020,Mckean,80,,,,
01/05/2021,Out-of-State,2194,50,,,
12/29/2020,Mifflin,63,,,,
12/29/2020,Monroe,136,,,,
12/29/2020,Pike,96,1,,,
12/29/2020,Potter,124,,,,
